"","attribute","Western Europe","Eastern Europe"
"1","eu_position",4.61623933882353,5.19960777021277
"2","eu_salience",5.62435652941176,6.24775470319149
"3","eu_dissent",2.50666921823529,2.48478926617021
"4","eu_intmark",4.69802669588235,5.22900254468085
"5","eu_cohesion",5.05633891893491,6.06425820744681
"6","eu_foreign",4.43700067751479,5.01638917978723
"7","eu_budgets",3.4265449887574,3.9692425787234
"8","lrgen",5.06770115723529,5.7601654
"9","lrecon",4.77091122205882,5.18889716585106
"10","lrecon_salience",7.15298524529412,6.61330016914894
"11","galtan",4.65993172235294,5.88151760744681
"12","galtan_salience",5.69548594882353,6.18862118085106
"13","spendvtax",4.61733850070588,5.24059300957447
"14","deregulation",4.64054522223529,5.25297187308511
"15","redistribution",4.32735227576471,4.95950385351064
"16","econ_interven",4.52692185564706,5.05037321851064
"17","civlib_laworder",4.88957404647059,5.58520594468085
"18","sociallifestyle",4.05666335305882,5.76389294031915
"19","religious_principle",3.94686944194118,5.06620608723404
"20","immigrate_policy",5.07240786988166,5.62379101170213
"21","multiculturalism",5.14701227111765,5.68788457340426
"22","urban_rural",4.67947362,4.9502073287234
"23","regions",4.4644345327381,4.5475818706383
"24","ethnic_minorities",4.70280346111765,5.11755632053192
"25","nationalism",5.26590630411765,5.62624457010638
"26","antielite_salience",4.72652573694118,5.11847796702128
"27","corrupt_salience",4.27668399670588,6.25570638510638
